"School","Subject","StudentID","Gender","Country","Score"
"Jingling High School","English",18,"Male","China",85
"Shanghai High School","English",18,"Male","China",82
"Shenzhen International Exchange School","English",18,"Male","China",82
"Andover Regional High School","English",18,"Male","USA",48
"Newton South High School","English",18,"Male","USA",65
"Phillips Academy","English",18,"Male","USA",78
"Action Boxborough Regional High School","English",18,"Male","USA",80
"Woburn Regional High School","English",18,"Male","USA",66
"Beijing No 4 Middle School","Math",18,"Male","China",79
"Hangzhou Xuejun Middle School","Math",18,"Male","China",67
"Jingling High School","Math",18,"Male","China",67
"Shanghai High School","Math",18,"Male","China",75
"Shenzhen International Exchange School","Math",18,"Male","China",78
"Andover Regional High School","Math",18,"Male","USA",100
"Newton South High School","Math",18,"Male","USA",82
"Phillips Academy","Math",18,"Male","USA",74
"Action Boxborough Regional High School","Math",18,"Male","USA",51
"Woburn Regional High School","Math",18,"Male","USA",67
"Beijing No 4 Middle School","Physical Education",18,"Male","China",82
"Hangzhou Xuejun Middle School","Physical Education",18,"Male","China",63
"Jingling High School","Physical Education",18,"Male","China",95
"Shanghai High School","Physical Education",18,"Male","China",85
"Shenzhen International Exchange School","Physical Education",18,"Male","China",89
"Andover Regional High School","Physical Education",18,"Male","USA",89
"Newton South High School","Physical Education",18,"Male","USA",66
"Phillips Academy","Physical Education",18,"Male","USA",50
"Action Boxborough Regional High School","Physical Education",18,"Male","USA",74
"Woburn Regional High School","Physical Education",18,"Male","USA",69
"Beijing No 4 Middle School","Science",18,"Male","China",61
"Hangzhou Xuejun Middle School","Science",18,"Male","China",59
"Jingling High School","Science",18,"Male","China",70
"Shanghai High School","Science",18,"Male","China",71
"Shenzhen International Exchange School","Science",18,"Male","China",65
"Andover Regional High School","Science",18,"Male","USA",40
"Newton South High School","Science",18,"Male","USA",81
"Phillips Academy","Science",18,"Male","USA",40
"Action Boxborough Regional High School","Science",18,"Male","USA",81
"Woburn Regional High School","Science",18,"Male","USA",100
"Beijing No 4 Middle School","History",18,"Male","China",75
"Hangzhou Xuejun Middle School","History",18,"Male","China",69
"Jingling High School","History",18,"Male","China",68
"Shanghai High School","History",18,"Male","China",46
"Shenzhen International Exchange School","History",18,"Male","China",65
"Andover Regional High School","History",18,"Male","USA",59
"Newton South High School","History",18,"Male","USA",50
"Phillips Academy","History",18,"Male","USA",44
"Action Boxborough Regional High School","History",18,"Male","USA",24
"Woburn Regional High School","History",18,"Male","USA",31
"Beijing No 4 Middle School","English",19,"Male","China",64
"Hangzhou Xuejun Middle School","English",19,"Male","China",66
"Jingling High School","English",19,"Male","China",93
"Shanghai High School","English",19,"Male","China",60
"Shenzhen International Exchange School","English",19,"Male","China",68
"Andover Regional High School","English",19,"Male","USA",56
"Newton South High School","English",19,"Male","USA",55
"Phillips Academy","English",19,"Male","USA",100
"Action Boxborough Regional High School","English",19,"Male","USA",66
"Woburn Regional High School","English",19,"Male","USA",75
"Beijing No 4 Middle School","Math",19,"Male","China",43
"Hangzhou Xuejun Middle School","Math",19,"Male","China",73
"Jingling High School","Math",19,"Male","China",75
"Shanghai High School","Math",19,"Male","China",73
"Shenzhen International Exchange School","Math",19,"Male","China",65
"Andover Regional High School","Math",19,"Male","USA",30
"Newton South High School","Math",19,"Male","USA",61
"Phillips Academy","Math",19,"Male","USA",61
"Action Boxborough Regional High School","Math",19,"Male","USA",53
"Woburn Regional High School","Math",19,"Male","USA",66
"Beijing No 4 Middle School","Physical Education",19,"Male","China",98
"Hangzhou Xuejun Middle School","Physical Education",19,"Male","China",66
"Jingling High School","Physical Education",19,"Male","China",90
"Shanghai High School","Physical Education",19,"Male","China",69
"Shenzhen International Exchange School","Physical Education",19,"Male","China",69
"Andover Regional High School","Physical Education",19,"Male","USA",69
"Newton South High School","Physical Education",19,"Male","USA",50
"Phillips Academy","Physical Education",19,"Male","USA",53
"Action Boxborough Regional High School","Physical Education",19,"Male","USA",49
"Woburn Regional High School","Physical Education",19,"Male","USA",43
"Beijing No 4 Middle School","Science",19,"Male","China",82
"Hangzhou Xuejun Middle School","Science",19,"Male","China",97
"Jingling High School","Science",19,"Male","China",82
"Shanghai High School","Science",19,"Male","China",45
"Shenzhen International Exchange School","Science",19,"Male","China",72
"Andover Regional High School","Science",19,"Male","USA",45
"Newton South High School","Science",19,"Male","USA",39
"Phillips Academy","Science",19,"Male","USA",61
"Action Boxborough Regional High School","Science",19,"Male","USA",37
"Woburn Regional High School","Science",19,"Male","USA",74
"Beijing No 4 Middle School","History",19,"Male","China",69
"Hangzhou Xuejun Middle School","History",19,"Male","China",83
"Jingling High School","History",19,"Male","China",72
"Shanghai High School","History",19,"Male","China",94
"Shenzhen International Exchange School","History",19,"Male","China",83
"Andover Regional High School","History",19,"Male","USA",40
"Newton South High School","History",19,"Male","USA",63
"Phillips Academy","History",19,"Male","USA",31
"Action Boxborough Regional High School","History",19,"Male","USA",66
"Woburn Regional High School","History",19,"Male","USA",48
"Beijing No 4 Middle School","English",20,"Male","China",79
"Hangzhou Xuejun Middle School","English",20,"Male","China",75
"Jingling High School","English",20,"Male","China",76
"Shanghai High School","English",20,"Male","China",59
"Shenzhen International Exchange School","English",20,"Male","China",66
"Andover Regional High School","English",20,"Male","USA",36
"Newton South High School","English",20,"Male","USA",66
"Phillips Academy","English",20,"Male","USA",57
"Action Boxborough Regional High School","English",20,"Male","USA",80
"Woburn Regional High School","English",20,"Male","USA",46
"Beijing No 4 Middle School","Math",20,"Male","China",80
"Hangzhou Xuejun Middle School","Math",20,"Male","China",87
"Jingling High School","Math",20,"Male","China",100
"Shanghai High School","Math",20,"Male","China",70
"Shenzhen International Exchange School","Math",20,"Male","China",69
"Andover Regional High School","Math",20,"Male","USA",69
"Newton South High School","Math",20,"Male","USA",70
"Phillips Academy","Math",20,"Male","USA",74
"Action Boxborough Regional High School","Math",20,"Male","USA",66
"Woburn Regional High School","Math",20,"Male","USA",63
"Beijing No 4 Middle School","Physical Education",20,"Male","China",72
"Hangzhou Xuejun Middle School","Physical Education",20,"Male","China",72
"Jingling High School","Physical Education",20,"Male","China",64
"Shanghai High School","Physical Education",20,"Male","China",66
"Shenzhen International Exchange School","Physical Education",20,"Male","China",66
"Andover Regional High School","Physical Education",20,"Male","USA",70
"Newton South High School","Physical Education",20,"Male","USA",33
"Phillips Academy","Physical Education",20,"Male","USA",56
"Action Boxborough Regional High School","Physical Education",20,"Male","USA",70
"Woburn Regional High School","Physical Education",20,"Male","USA",67
"Beijing No 4 Middle School","Science",20,"Male","China",61
"Hangzhou Xuejun Middle School","Science",20,"Male","China",62
"Jingling High School","Science",20,"Male","China",60
"Shanghai High School","Science",20,"Male","China",47
"Shenzhen International Exchange School","Science",20,"Male","China",85
"Andover Regional High School","Science",20,"Male","USA",45
"Newton South High School","Science",20,"Male","USA",72
"Phillips Academy","Science",20,"Male","USA",49
"Action Boxborough Regional High School","Science",20,"Male","USA",22
"Woburn Regional High School","Science",20,"Male","USA",100
"Beijing No 4 Middle School","History",20,"Male","China",57
"Hangzhou Xuejun Middle School","History",20,"Male","China",51
"Jingling High School","History",20,"Male","China",72
"Shanghai High School","History",20,"Male","China",59
"Shenzhen International Exchange School","History",20,"Male","China",69
"Andover Regional High School","History",20,"Male","USA",78
"Newton South High School","History",20,"Male","USA",48
"Phillips Academy","History",20,"Male","USA",66
"Action Boxborough Regional High School","History",20,"Male","USA",59
"Woburn Regional High School","History",20,"Male","USA",75
"Beijing No 4 Middle School","English",21,"Male","China",75
"Hangzhou Xuejun Middle School","English",21,"Male","China",79
"Jingling High School","English",21,"Male","China",59
"Shanghai High School","English",21,"Male","China",64
"Shenzhen International Exchange School","English",21,"Male","China",94
"Andover Regional High School","English",21,"Male","USA",51
"Newton South High School","English",21,"Male","USA",69
"Phillips Academy","English",21,"Male","USA",2
"Action Boxborough Regional High School","English",21,"Male","USA",30
"Woburn Regional High School","English",21,"Male","USA",82
"Beijing No 4 Middle School","Math",21,"Male","China",70
"Hangzhou Xuejun Middle School","Math",21,"Male","China",52
"Jingling High School","Math",21,"Male","China",80
"Shanghai High School","Math",21,"Male","China",67
"Shenzhen International Exchange School","Math",21,"Male","China",69
"Andover Regional High School","Math",21,"Male","USA",66
"Newton South High School","Math",21,"Male","USA",64
"Phillips Academy","Math",21,"Male","USA",18
"Action Boxborough Regional High School","Math",21,"Male","USA",78
"Woburn Regional High School","Math",21,"Male","USA",26
"Beijing No 4 Middle School","Physical Education",21,"Male","China",47
"Hangzhou Xuejun Middle School","Physical Education",21,"Male","China",73
"Jingling High School","Physical Education",21,"Male","China",60
"Shanghai High School","Physical Education",21,"Male","China",66
"Shenzhen International Exchange School","Physical Education",21,"Male","China",84
"Andover Regional High School","Physical Education",21,"Male","USA",89
"Newton South High School","Physical Education",21,"Male","USA",85
"Phillips Academy","Physical Education",21,"Male","USA",33
"Action Boxborough Regional High School","Physical Education",21,"Male","USA",43
"Woburn Regional High School","Physical Education",21,"Male","USA",70
"Beijing No 4 Middle School","Science",21,"Male","China",83
"Hangzhou Xuejun Middle School","Science",21,"Male","China",93
"Jingling High School","Science",21,"Male","China",60
"Shanghai High School","Science",21,"Male","China",66
"Shenzhen International Exchange School","Science",21,"Male","China",85
"Andover Regional High School","Science",21,"Male","USA",63
"Newton South High School","Science",21,"Male","USA",66
"Phillips Academy","Science",21,"Male","USA",48
"Action Boxborough Regional High School","Science",21,"Male","USA",63
"Woburn Regional High School","Science",21,"Male","USA",89
"Beijing No 4 Middle School","History",21,"Male","China",63
"Hangzhou Xuejun Middle School","History",21,"Male","China",58
"Jingling High School","History",21,"Male","China",59
"Shanghai High School","History",21,"Male","China",79
"Shenzhen International Exchange School","History",21,"Male","China",61
"Andover Regional High School","History",21,"Male","USA",67
"Newton South High School","History",21,"Male","USA",66
"Phillips Academy","History",21,"Male","USA",75
"Action Boxborough Regional High School","History",21,"Male","USA",72
"Woburn Regional High School","History",21,"Male","USA",42
"Beijing No 4 Middle School","English",22,"Male","China",78
"Hangzhou Xuejun Middle School","English",22,"Male","China",75
"Jingling High School","English",22,"Male","China",78
"Shanghai High School","English",22,"Male","China",64
"Shenzhen International Exchange School","English",22,"Male","China",61
"Andover Regional High School","English",22,"Male","USA",63
"Newton South High School","English",22,"Male","USA",22
"Phillips Academy","English",22,"Male","USA",39
"Action Boxborough Regional High School","English",22,"Male","USA",61
"Woburn Regional High School","English",22,"Male","USA",46
"Beijing No 4 Middle School","Math",22,"Male","China",69
"Hangzhou Xuejun Middle School","Math",22,"Male","China",60
"Jingling High School","Math",22,"Male","China",67
"Shanghai High School","Math",22,"Male","China",66
"Shenzhen International Exchange School","Math",22,"Male","China",69
"Andover Regional High School","Math",22,"Male","USA",48
"Newton South High School","Math",22,"Male","USA",43
"Phillips Academy","Math",22,"Male","USA",46
"Action Boxborough Regional High School","Math",22,"Male","USA",49
"Woburn Regional High School","Math",22,"Male","USA",46
"Beijing No 4 Middle School","Physical Education",22,"Male","China",64
"Hangzhou Xuejun Middle School","Physical Education",22,"Male","China",63
"Jingling High School","Physical Education",22,"Male","China",50
"Shanghai High School","Physical Education",22,"Male","China",50
"Shenzhen International Exchange School","Physical Education",22,"Male","China",82
"Andover Regional High School","Physical Education",22,"Male","USA",98
"Newton South High School","Physical Education",22,"Male","USA",73
"Phillips Academy","Physical Education",22,"Male","USA",69
"Action Boxborough Regional High School","Physical Education",22,"Male","USA",69
"Woburn Regional High School","Physical Education",22,"Male","USA",77
"Beijing No 4 Middle School","Science",22,"Male","China",59
"Hangzhou Xuejun Middle School","Science",22,"Male","China",73
"Jingling High School","Science",22,"Male","China",63
"Shanghai High School","Science",22,"Male","China",73
"Shenzhen International Exchange School","Science",22,"Male","China",78
"Andover Regional High School","Science",22,"Male","USA",81
"Newton South High School","Science",22,"Male","USA",45
"Phillips Academy","Science",22,"Male","USA",28
"Action Boxborough Regional High School","Science",22,"Male","USA",66
"Woburn Regional High School","Science",22,"Male","USA",60
"Beijing No 4 Middle School","History",22,"Male","China",61
"Hangzhou Xuejun Middle School","History",22,"Male","China",69
"Jingling High School","History",22,"Male","China",69
"Shanghai High School","History",22,"Male","China",83
"Shenzhen International Exchange School","History",22,"Male","China",97
"Andover Regional High School","History",22,"Male","USA",89
"Newton South High School","History",22,"Male","USA",30
"Phillips Academy","History",22,"Male","USA",56
"Action Boxborough Regional High School","History",22,"Male","USA",63
"Woburn Regional High School","History",22,"Male","USA",63
"Beijing No 4 Middle School","English",23,"Male","China",69
"Hangzhou Xuejun Middle School","English",23,"Male","China",60
"Jingling High School","English",23,"Male","China",79
"Shanghai High School","English",23,"Male","China",94
"Shenzhen International Exchange School","English",23,"Male","China",65
"Andover Regional High School","English",23,"Male","USA",2
"Newton South High School","English",23,"Male","USA",58
"Phillips Academy","English",23,"Male","USA",46
"Action Boxborough Regional High School","English",23,"Male","USA",100
"Woburn Regional High School","English",23,"Male","USA",56
"Beijing No 4 Middle School","Math",23,"Male","China",75
"Hangzhou Xuejun Middle School","Math",23,"Male","China",71
"Jingling High School","Math",23,"Male","China",100
"Shanghai High School","Math",23,"Male","China",76
"Shenzhen International Exchange School","Math",23,"Male","China",88
"Andover Regional High School","Math",23,"Male","USA",62
"Newton South High School","Math",23,"Male","USA",41
"Phillips Academy","Math",23,"Male","USA",24
"Action Boxborough Regional High School","Math",23,"Male","USA",42
"Woburn Regional High School","Math",23,"Male","USA",63
"Beijing No 4 Middle School","Physical Education",23,"Male","China",72
"Hangzhou Xuejun Middle School","Physical Education",23,"Male","China",64
"Jingling High School","Physical Education",23,"Male","China",62
"Shanghai High School","Physical Education",23,"Male","China",72
"Shenzhen International Exchange School","Physical Education",23,"Male","China",65
"Andover Regional High School","Physical Education",23,"Male","USA",34
"Newton South High School","Physical Education",23,"Male","USA",86
"Phillips Academy","Physical Education",23,"Male","USA",88
"Action Boxborough Regional High School","Physical Education",23,"Male","USA",89
"Woburn Regional High School","Physical Education",23,"Male","USA",40
"Beijing No 4 Middle School","Science",23,"Male","China",69
"Hangzhou Xuejun Middle School","Science",23,"Male","China",50
"Jingling High School","Science",23,"Male","China",21
"Shanghai High School","Science",23,"Male","China",51
"Shenzhen International Exchange School","Science",23,"Male","China",54
"Andover Regional High School","Science",23,"Male","USA",60
"Newton South High School","Science",23,"Male","USA",81
"Phillips Academy","Science",23,"Male","USA",39
"Action Boxborough Regional High School","Science",23,"Male","USA",66
"Woburn Regional High School","Science",23,"Male","USA",82
"Beijing No 4 Middle School","History",23,"Male","China",66
"Hangzhou Xuejun Middle School","History",23,"Male","China",82
"Jingling High School","History",23,"Male","China",47
"Shanghai High School","History",23,"Male","China",70
"Shenzhen International Exchange School","History",23,"Male","China",83
"Andover Regional High School","History",23,"Male","USA",39
"Newton South High School","History",23,"Male","USA",61
"Phillips Academy","History",23,"Male","USA",46
"Action Boxborough Regional High School","History",23,"Male","USA",63
"Woburn Regional High School","History",23,"Male","USA",40
"Beijing No 4 Middle School","English",24,"Male","China",84
"Hangzhou Xuejun Middle School","English",24,"Male","China",94
"Jingling High School","English",24,"Male","China",57
"Shanghai High School","English",24,"Male","China",75
"Shenzhen International Exchange School","English",24,"Male","China",71
"Andover Regional High School","English",24,"Male","USA",66
"Newton South High School","English",24,"Male","USA",81
"Phillips Academy","English",24,"Male","USA",100
"Action Boxborough Regional High School","English",24,"Male","USA",56
"Woburn Regional High School","English",24,"Male","USA",66
"Beijing No 4 Middle School","Math",24,"Male","China",86
"Hangzhou Xuejun Middle School","Math",24,"Male","China",70
"Jingling High School","Math",24,"Male","China",67
"Shanghai High School","Math",24,"Male","China",80
"Shenzhen International Exchange School","Math",24,"Male","China",79
"Andover Regional High School","Math",24,"Male","USA",62
"Newton South High School","Math",24,"Male","USA",65
"Phillips Academy","Math",24,"Male","USA",46
"Action Boxborough Regional High School","Math",24,"Male","USA",39
"Woburn Regional High School","Math",24,"Male","USA",40
"Beijing No 4 Middle School","Physical Education",24,"Male","China",69
"Hangzhou Xuejun Middle School","Physical Education",24,"Male","China",65
"Jingling High School","Physical Education",24,"Male","China",61
"Shanghai High School","Physical Education",24,"Male","China",63
"Shenzhen International Exchange School","Physical Education",24,"Male","China",54
"Andover Regional High School","Physical Education",24,"Male","USA",89
"Newton South High School","Physical Education",24,"Male","USA",98
"Phillips Academy","Physical Education",24,"Male","USA",27
"Action Boxborough Regional High School","Physical Education",24,"Male","USA",52
"Woburn Regional High School","Physical Education",24,"Male","USA",72
"Beijing No 4 Middle School","Science",24,"Male","China",64
"Hangzhou Xuejun Middle School","Science",24,"Male","China",61
"Jingling High School","Science",24,"Male","China",75
"Shanghai High School","Science",24,"Male","China",76
"Shenzhen International Exchange School","Science",24,"Male","China",78
"Andover Regional High School","Science",24,"Male","USA",48
"Newton South High School","Science",24,"Male","USA",81
"Phillips Academy","Science",24,"Male","USA",63
"Action Boxborough Regional High School","Science",24,"Male","USA",22
"Woburn Regional High School","Science",24,"Male","USA",100
"Beijing No 4 Middle School","History",24,"Male","China",79
"Hangzhou Xuejun Middle School","History",24,"Male","China",93
"Jingling High School","History",24,"Male","China",77
"Shanghai High School","History",24,"Male","China",69
"Shenzhen International Exchange School","History",24,"Male","China",74
"Andover Regional High School","History",24,"Male","USA",63
"Newton South High School","History",24,"Male","USA",66
"Phillips Academy","History",24,"Male","USA",45
"Action Boxborough Regional High School","History",24,"Male","USA",67
"Woburn Regional High School","History",24,"Male","USA",58
"Beijing No 4 Middle School","English",25,"Male","China",60
"Hangzhou Xuejun Middle School","English",25,"Male","China",64
"Jingling High School","English",25,"Male","China",51
"Shanghai High School","English",25,"Male","China",62
"Shenzhen International Exchange School","English",25,"Male","China",72
"Andover Regional High School","English",25,"Male","USA",63
"Newton South High School","English",25,"Male","USA",45
"Phillips Academy","English",25,"Male","USA",42
"Action Boxborough Regional High School","English",25,"Male","USA",74
"Woburn Regional High School","English",25,"Male","USA",68
"Beijing No 4 Middle School","Math",25,"Male","China",50
"Hangzhou Xuejun Middle School","Math",25,"Male","China",80
"Jingling High School","Math",25,"Male","China",77
"Shanghai High School","Math",25,"Male","China",76
"Shenzhen International Exchange School","Math",25,"Male","China",91
"Andover Regional High School","Math",25,"Male","USA",44
"Newton South High School","Math",25,"Male","USA",69
"Phillips Academy","Math",25,"Male","USA",81
"Action Boxborough Regional High School","Math",25,"Male","USA",30
"Woburn Regional High School","Math",25,"Male","USA",45
"Beijing No 4 Middle School","Physical Education",25,"Male","China",82
"Hangzhou Xuejun Middle School","Physical Education",25,"Male","China",85
"Jingling High School","Physical Education",25,"Male","China",85
"Shanghai High School","Physical Education",25,"Male","China",60
"Shenzhen International Exchange School","Physical Education",25,"Male","China",50
"Andover Regional High School","Physical Education",25,"Male","USA",62
"Newton South High School","Physical Education",25,"Male","USA",83
"Phillips Academy","Physical Education",25,"Male","USA",48
"Action Boxborough Regional High School","Physical Education",25,"Male","USA",20
"Woburn Regional High School","Physical Education",25,"Male","USA",70
"Beijing No 4 Middle School","Science",25,"Male","China",69
"Hangzhou Xuejun Middle School","Science",25,"Male","China",63
"Jingling High School","Science",25,"Male","China",68
"Shanghai High School","Science",25,"Male","China",40
"Shenzhen International Exchange School","Science",25,"Male","China",68
"Andover Regional High School","Science",25,"Male","USA",75
"Newton South High School","Science",25,"Male","USA",100
"Phillips Academy","Science",25,"Male","USA",51
"Action Boxborough Regional High School","Science",25,"Male","USA",18
"Woburn Regional High School","Science",25,"Male","USA",51
"Beijing No 4 Middle School","History",25,"Male","China",80
"Hangzhou Xuejun Middle School","History",25,"Male","China",79
"Jingling High School","History",25,"Male","China",73
"Shanghai High School","History",25,"Male","China",72
"Shenzhen International Exchange School","History",25,"Male","China",63
"Andover Regional High School","History",25,"Male","USA",48
"Newton South High School","History",25,"Male","USA",55
"Phillips Academy","History",25,"Male","USA",65
"Action Boxborough Regional High School","History",25,"Male","USA",66
"Woburn Regional High School","History",25,"Male","USA",49
"Beijing No 4 Middle School","English",26,"Male","China",89
"Hangzhou Xuejun Middle School","English",26,"Male","China",62
"Jingling High School","English",26,"Male","China",67
"Shanghai High School","English",26,"Male","China",66
"Shenzhen International Exchange School","English",26,"Male","China",67
"Andover Regional High School","English",26,"Male","USA",31
"Newton South High School","English",26,"Male","USA",81
"Phillips Academy","English",26,"Male","USA",63
"Action Boxborough Regional High School","English",26,"Male","USA",45
"Woburn Regional High School","English",26,"Male","USA",65
"Beijing No 4 Middle School","Math",26,"Male","China",52
"Hangzhou Xuejun Middle School","Math",26,"Male","China",63
"Jingling High School","Math",26,"Male","China",94
"Shanghai High School","Math",26,"Male","China",100
"Shenzhen International Exchange School","Math",26,"Male","China",72
"Andover Regional High School","Math",26,"Male","USA",75
"Newton South High School","Math",26,"Male","USA",46
"Phillips Academy","Math",26,"Male","USA",100
"Action Boxborough Regional High School","Math",26,"Male","USA",48
"Woburn Regional High School","Math",26,"Male","USA",70
"Beijing No 4 Middle School","Physical Education",26,"Male","China",76
"Hangzhou Xuejun Middle School","Physical Education",26,"Male","China",55
"Jingling High School","Physical Education",26,"Male","China",67
"Shanghai High School","Physical Education",26,"Male","China",68
"Shenzhen International Exchange School","Physical Education",26,"Male","China",61
"Andover Regional High School","Physical Education",26,"Male","USA",61
"Newton South High School","Physical Education",26,"Male","USA",33
"Phillips Academy","Physical Education",26,"Male","USA",47
"Action Boxborough Regional High School","Physical Education",26,"Male","USA",73
"Woburn Regional High School","Physical Education",26,"Male","USA",86
"Beijing No 4 Middle School","Science",26,"Male","China",75
"Hangzhou Xuejun Middle School","Science",26,"Male","China",62
"Jingling High School","Science",26,"Male","China",83
"Shanghai High School","Science",26,"Male","China",76
"Shenzhen International Exchange School","Science",26,"Male","China",74
"Andover Regional High School","Science",26,"Male","USA",82
"Newton South High School","Science",26,"Male","USA",67
"Phillips Academy","Science",26,"Male","USA",18
"Action Boxborough Regional High School","Science",26,"Male","USA",45
"Woburn Regional High School","Science",26,"Male","USA",63
"Beijing No 4 Middle School","History",26,"Male","China",78
"Hangzhou Xuejun Middle School","History",26,"Male","China",95
"Jingling High School","History",26,"Male","China",73
"Shanghai High School","History",26,"Male","China",65
"Shenzhen International Exchange School","History",26,"Male","China",68
"Andover Regional High School","History",26,"Male","USA",50
"Newton South High School","History",26,"Male","USA",40
"Phillips Academy","History",26,"Male","USA",75
"Action Boxborough Regional High School","History",26,"Male","USA",55
"Woburn Regional High School","History",26,"Male","USA",66
"Beijing No 4 Middle School","English",27,"Male","China",45
"Hangzhou Xuejun Middle School","English",27,"Male","China",64
"Jingling High School","English",27,"Male","China",67
"Shanghai High School","English",27,"Male","China",82
"Shenzhen International Exchange School","English",27,"Male","China",61
"Andover Regional High School","English",27,"Male","USA",66
"Newton South High School","English",27,"Male","USA",61
"Phillips Academy","English",27,"Male","USA",48
"Action Boxborough Regional High School","English",27,"Male","USA",41
"Woburn Regional High School","English",27,"Male","USA",31
"Beijing No 4 Middle School","Math",27,"Male","China",65
"Hangzhou Xuejun Middle School","Math",27,"Male","China",83
"Jingling High School","Math",27,"Male","China",92
"Shanghai High School","Math",27,"Male","China",82
"Shenzhen International Exchange School","Math",27,"Male","China",86
"Andover Regional High School","Math",27,"Male","USA",74
"Newton South High School","Math",27,"Male","USA",48
"Phillips Academy","Math",27,"Male","USA",67
"Action Boxborough Regional High School","Math",27,"Male","USA",61
"Woburn Regional High School","Math",27,"Male","USA",43
"Beijing No 4 Middle School","Physical Education",27,"Male","China",61
"Hangzhou Xuejun Middle School","Physical Education",27,"Male","China",69
"Jingling High School","Physical Education",27,"Male","China",93
"Shanghai High School","Physical Education",27,"Male","China",61
"Shenzhen International Exchange School","Physical Education",27,"Male","China",76
"Andover Regional High School","Physical Education",27,"Male","USA",89
"Newton South High School","Physical Education",27,"Male","USA",69
"Phillips Academy","Physical Education",27,"Male","USA",70
"Action Boxborough Regional High School","Physical Education",27,"Male","USA",89
"Woburn Regional High School","Physical Education",27,"Male","USA",52
"Beijing No 4 Middle School","Science",27,"Male","China",73
"Hangzhou Xuejun Middle School","Science",27,"Male","China",55
"Jingling High School","Science",27,"Male","China",60
"Shanghai High School","Science",27,"Male","China",83
"Shenzhen International Exchange School","Science",27,"Male","China",60
"Andover Regional High School","Science",27,"Male","USA",66
"Newton South High School","Science",27,"Male","USA",75
"Phillips Academy","Science",27,"Male","USA",100
"Action Boxborough Regional High School","Science",27,"Male","USA",57
"Woburn Regional High School","Science",27,"Male","USA",18
"Beijing No 4 Middle School","History",27,"Male","China",21
"Hangzhou Xuejun Middle School","History",27,"Male","China",49
"Jingling High School","History",27,"Male","China",49
"Shanghai High School","History",27,"Male","China",83
"Shenzhen International Exchange School","History",27,"Male","China",83
"Andover Regional High School","History",27,"Male","USA",61
"Newton South High School","History",27,"Male","USA",53
"Phillips Academy","History",27,"Male","USA",70
"Action Boxborough Regional High School","History",27,"Male","USA",44
"Woburn Regional High School","History",27,"Male","USA",64
"Beijing No 4 Middle School","English",28,"Male","China",73
"Hangzhou Xuejun Middle School","English",28,"Male","China",72
"Jingling High School","English",28,"Male","China",71
"Shanghai High School","English",28,"Male","China",82
"Shenzhen International Exchange School","English",28,"Male","China",64
"Andover Regional High School","English",28,"Male","USA",65
"Newton South High School","English",28,"Male","USA",61
"Phillips Academy","English",28,"Male","USA",63
"Action Boxborough Regional High School","English",28,"Male","USA",24
"Woburn Regional High School","English",28,"Male","USA",67
"Beijing No 4 Middle School","Math",28,"Male","China",90
"Hangzhou Xuejun Middle School","Math",28,"Male","China",69
"Jingling High School","Math",28,"Male","China",56
"Shanghai High School","Math",28,"Male","China",73
"Shenzhen International Exchange School","Math",28,"Male","China",71
"Andover Regional High School","Math",28,"Male","USA",58
"Newton South High School","Math",28,"Male","USA",49
"Phillips Academy","Math",28,"Male","USA",100
"Action Boxborough Regional High School","Math",28,"Male","USA",51
"Woburn Regional High School","Math",28,"Male","USA",45
"Beijing No 4 Middle School","Physical Education",28,"Male","China",82
"Hangzhou Xuejun Middle School","Physical Education",28,"Male","China",60
"Jingling High School","Physical Education",28,"Male","China",60
"Shanghai High School","Physical Education",28,"Male","China",50
"Shenzhen International Exchange School","Physical Education",28,"Male","China",70
"Andover Regional High School","Physical Education",28,"Male","USA",24
"Newton South High School","Physical Education",28,"Male","USA",52
"Phillips Academy","Physical Education",28,"Male","USA",83
"Action Boxborough Regional High School","Physical Education",28,"Male","USA",91
"Woburn Regional High School","Physical Education",28,"Male","USA",2
"Beijing No 4 Middle School","Science",28,"Male","China",70
"Hangzhou Xuejun Middle School","Science",28,"Male","China",66
"Jingling High School","Science",28,"Male","China",62
"Shanghai High School","Science",28,"Male","China",69
"Shenzhen International Exchange School","Science",28,"Male","China",94
"Andover Regional High School","Science",28,"Male","USA",24
"Newton South High School","Science",28,"Male","USA",43
"Phillips Academy","Science",28,"Male","USA",44
"Action Boxborough Regional High School","Science",28,"Male","USA",49
"Woburn Regional High School","Science",28,"Male","USA",26
"Beijing No 4 Middle School","History",28,"Male","China",75
"Hangzhou Xuejun Middle School","History",28,"Male","China",60
"Jingling High School","History",28,"Male","China",51
"Shanghai High School","History",28,"Male","China",69
"Shenzhen International Exchange School","History",28,"Male","China",69
"Andover Regional High School","History",28,"Male","USA",60
"Newton South High School","History",28,"Male","USA",75
"Phillips Academy","History",28,"Male","USA",55
"Action Boxborough Regional High School","History",28,"Male","USA",48
"Woburn Regional High School","History",28,"Male","USA",77
"Beijing No 4 Middle School","English",29,"Male","China",90
"Hangzhou Xuejun Middle School","English",29,"Male","China",69
"Jingling High School","English",29,"Male","China",76
"Shanghai High School","English",29,"Male","China",69
"Shenzhen International Exchange School","English",29,"Male","China",79
"Andover Regional High School","English",29,"Male","USA",22
"Newton South High School","English",29,"Male","USA",45
"Phillips Academy","English",29,"Male","USA",49
"Action Boxborough Regional High School","English",29,"Male","USA",59
